@relation spamClassification

@attribute stdDomains numeric
@attribute meanDomains numeric
@attribute stdCountries numeric
@attribute meanCountries numeric
@attribute encodersCount numeric
@attribute clicksCount numeric
@attribute isSpam {True,False}

@data
61.21,49.67,34.29,12.42,2,149,True
4.0,7.0,0.9558,1.556,12,14,False
2.586,5.25,7.361,5.25,1,21,False
0.5,1.5,0.5,1.5,2,3,False
5.0,7.0,4.497,4.667,1,14,False
11.95,14.33,6.811,4.778,7,43,False
2.5,17.5,2.098,2.188,1,35,False
45.5,60.5,45.4,24.2,2,121,False
3.0,7.0,3.0,7.0,41,14,False
211.5,130.3,140.5,37.24,3,782,True
2.944,6.0,5.657,6.0,2,18,True
183.0,219.0,129.9,48.67,4,438,False
86.5,136.5,80.85,30.33,2,273,False
91.0,93.0,57.23,37.2,1,186,False
0.0,3.0,0.0,3.0,1,6,False
0.0,1.0,0.0,1.0,1,2,False
5.5,6.5,4.714,4.333,1,13,False
2.0,3.0,0.5,1.5,24,6,False
75.0,89.0,17.39,5.742,16,178,False
0.0,11.0,2.5,5.5,1,11,False
0.0,1.0,0.0,1.0,1,2,False
18.7,26.67,17.29,10.0,1,80,False
0.0,2.0,0.0,1.0,4,4,False
1.745e+03,604.4,398.4,108.6,3,10867,False
999.0,336.1,235.7,60.48,8,6050,False
66.0,119.0,38.81,21.64,1,238,False
0.0,2.0,0.0,1.0,3,2,False
710.9,371.3,172.0,41.26,1,3342,False
0.0,1.0,0.0,2.0,1,2,False
3.0,11.0,3.774,4.4,5,22,False
43.67,61.67,68.26,46.25,1,211,False
9.031,11.33,9.031,11.33,29,34,False
85.82,84.5,120.2,56.33,3,338,False
36.5,55.5,19.25,8.538,1,111,False
13.5,16.5,14.5,16.5,1,33,True
0.0,2.0,0.0,2.0,8,2,False
0.0,1.0,0.0,1.0,6,2,False
3.5,4.5,2.828,3.0,1,9,False
1.0,2.0,1.0,2.0,2,4,False
0.5,1.5,0.5,1.5,1,3,False
0.0,3.0,0.0,3.0,1,3,False
0.0,11.0,0.0,11.0,17,11,False
58.0,60.0,24.4,20.0,1,120,False
1.084e+03,308.1,842.5,238.1,1,5238,False
1.5,4.5,2.5,4.5,4,9,False
338.7,176.8,196.7,46.13,6,1061,False
1.993e+03,787.3,647.8,118.0,1,11810,False
178.7,197.7,202.6,49.42,4,1186,False
327.5,383.5,77.9,14.75,1,767,False
840.0,493.4,175.1,38.38,1,3454,False
0.0,1.0,0.0,1.0,5,2,False
25.0,48.0,32.2,16.0,3,96,False
4.0,5.0,0.0,10.0,2,10,False
3.5,67.5,29.77,27.0,1,135,False
8.5,9.5,5.932,4.75,1,19,False
1.5,20.5,9.534,13.67,1,41,False
1.0,3.0,1.0,3.0,1,6,False
0.0,2.0,0.0,1.0,1,2,False
17.0,20.0,19.0,20.0,7,39,False
0.0,2.0,0.0,2.0,6,2,False
21.06,16.6,5.215,3.609,1,83,False
21.17,19.33,8.416,4.143,2,58,True
39.18,40.67,34.34,15.25,5,122,False
0.0,2.0,0.0,2.0,1,2,True
2.0,3.0,2.0,3.0,1,6,False
0.0,18.0,5.0,9.0,1,18,True
45.56,34.4,49.82,28.67,1,172,False
734.5,742.0,104.3,46.38,4,2226,False
25.16,33.67,6.798,4.208,1,202,False
0.0,69.0,19.01,13.8,1,69,False
8.0,31.0,14.06,20.67,1,62,False
195.0,137.0,209.4,49.82,4,1096,False
78.49,131.7,64.97,19.75,5,395,False
3.5,12.5,5.437,8.333,1,25,False
0.0,6.0,0.0,6.0,5,6,False
0.0,2.0,0.0,2.0,1,2,False
6.394,7.667,15.9,9.2,3,46,False
0.0,4.0,1.0,2.0,4,4,False
799.7,445.5,283.2,93.79,1,3600,False
0.5,26.5,17.74,10.6,1,53,False
4.643,8.333,11.5,12.5,4,25,False
105.1,76.33,79.21,45.8,1,248,False
889.0,939.0,358.2,81.65,2,1879,False
232.5,447.5,120.3,34.42,1,895,False
1.47,2.8,3.775,3.5,1,14,True
3.124,4.8,8.66,6.0,8,24,False
2.275e+03,1.318e+03,864.5,153.2,1,6588,False
297.1,126.6,54.62,18.35,1,1412,False
48.15,38.0,56.0,57.0,1,114,False
4.0,5.0,2.0,2.0,4,19,False
4.192e+03,4.671e+03,1.001e+03,137.4,1,9342,False
0.0,10.0,3.3,3.333,2,10,False
1.493e+03,616.9,727.0,148.9,1,8637,False
0.0,2.0,0.0,1.0,5,2,False
25.99,19.71,21.02,6.571,1,138,False
0.0,16.0,3.727,2.667,1,16,False
1.38e+04,3.021e+03,9.304e+03,1.263e+03,6,84588,False
5.0,8.0,7.0,8.0,3,16,True
0.0,3.0,0.0,1.0,2,3,False
2.5,9.5,4.261,3.8,3,19,True
1.5,9.5,1.654,2.375,1,19,False
11.0,58.0,10.0,58.0,1,116,False
6.5,10.5,3.64,3.5,6,21,False
15.37,20.8,10.51,4.952,3,104,False
